iter	RMSE
0	1.07706564
1	1.059230274
2	1.042811533
3	1.029371317
4	1.012150759
5	0.9946399108
6	0.9793058034
7	0.9616565633
8	0.9449874076
9	0.9287415815
10	0.9138840994
11	0.8991633575
12	0.8834437285
13	0.8693985332
14	0.8518654792
15	0.8402815872
16	0.8293472424
17	0.8170918478
18	0.8055885238
19	0.7921998918
20	0.7804921959
21	0.7697592631
22	0.7571824383
23	0.7438982439
24	0.7304462592
25	0.7190896868
26	0.7094158129
27	0.6986855044
28	0.6897887661
29	0.6785941778
30	0.6675386596
31	0.6583294716
32	0.6482006016
33	0.6375457859
34	0.6278818916
35	0.6196204977
36	0.6094397572
37	0.5990507901
38	0.5913201896
39	0.581474705
40	0.5754248463
41	0.5676334367
42	0.5588850207
43	0.5488494693
44	0.5417329065
45	0.5343484724
46	0.5274187838
47	0.5195231936
48	0.5134563014
49	0.5044345302
50	0.4968147241
51	0.4887715753
52	0.4829765115
53	0.4757162386
54	0.4682266863
55	0.4628818751
56	0.4557077285
57	0.4500321496
58	0.4429172506
59	0.4377639713
60	0.4330047573
61	0.4267261659
62	0.4202687038
63	0.4160003842
64	0.4103604953
65	0.4057717874
66	0.4011094101
67	0.3954653123
68	0.3931996504
69	0.3866348936
70	0.3810729758
71	0.3750139959
72	0.3707705719
73	0.3661763627
74	0.3600953768
75	0.3550108347
76	0.3509428283
77	0.3477862852
78	0.3439313431
79	0.3411384656
80	0.3368561321
81	0.3327931794
82	0.3294525717
83	0.3259040477
84	0.3228035406
85	0.3199416188
86	0.3164140564
87	0.3125604499
88	0.3092850795
89	0.3055282293
90	0.3024027189
91	0.2992000768
92	0.2951862593
93	0.2925580766
94	0.2885590611
95	0.2854305488
96	0.282417562
97	0.2790644723
98	0.2763583679
99	0.273750169
100	0.2711119642
101	0.2692827824
102	0.2666907728
103	0.2632065918
104	0.2602588321
105	0.2572856411
106	0.2550726535
107	0.2517667254
108	0.2495601464
109	0.2471451808
110	0.2439033008
111	0.2417022542
112	0.2394620139
113	0.2375525953
114	0.2348503885
115	0.2326178932
116	0.2307519206
117	0.2278111851
118	0.2247741631
119	0.2212185359
120	0.2186195117
121	0.2161316084
122	0.2137066678
123	0.2117789971
124	0.2098808679
125	0.2074768369
126	0.2056525394
127	0.2033518611
128	0.2016725624
129	0.2000694191
130	0.1985704429
131	0.1954434199
132	0.1932417529
133	0.1912194231
134	0.1895849834
135	0.1883067643
136	0.1862800478
137	0.1852933748
138	0.1831565367
139	0.1814472896
140	0.1798219075
141	0.1784619083
142	0.1764436053
143	0.1754382771
144	0.1743057126
145	0.1731624192
146	0.1715083657
147	0.1701507901
148	0.1681500667
149	0.1671196523
150	0.1657807046
151	0.1640984748
152	0.1632884735
153	0.1622787488
154	0.1611793576
155	0.1594489284
156	0.1586877457
157	0.1566509023
158	0.155558515
159	0.1544178005
160	0.1526372893
161	0.1510739238
162	0.1498909082
163	0.1486712453
164	0.1473330589
165	0.1464213572
166	0.1451738902
167	0.1438908621
168	0.1426782434
169	0.1417527152
170	0.1400337597
171	0.1385442684
172	0.1370786775
173	0.1363862348
174	0.1351896035
175	0.1343007893
176	0.1335867957
177	0.1323006534
178	0.131293523
179	0.1301456533
180	0.128911669
181	0.1280220876
182	0.1268744969
183	0.125726778
184	0.1248262114
185	0.1234774386
186	0.1222614756
187	0.121340938
188	0.12041643
189	0.1196744017
190	0.1189461652
191	0.1180447298
192	0.1169748917
193	0.1162814197
194	0.1157153271
195	0.1146046645
196	0.1137237671
197	0.1129286603
198	0.1121462683
199	0.1113939914
200	0.1103604136
201	0.1093389497
202	0.1084849337
203	0.1074904314
204	0.1066858978
205	0.105971339
206	0.1052359049
207	0.1044412164
208	0.1035633256
209	0.1026928618
210	0.1018834449
211	0.1012032921
212	0.100424591
213	0.09965856689
214	0.0989676925
215	0.09831485239
216	0.09761813792
217	0.09696055077
218	0.09623700308
219	0.09569646677
220	0.09520623139
221	0.09451750922
222	0.09400402988
223	0.09327075716
224	0.0927851004
225	0.09224598228
226	0.09162667274
227	0.09105340414
228	0.09065542847
229	0.09006220583
230	0.0893673477
231	0.08879732867
232	0.08818896337
233	0.08768151123
234	0.08726762021
235	0.08666758487
236	0.08612600001
237	0.08559046591
238	0.08504755504
239	0.08455315874
240	0.08420796758
241	0.08378358176
242	0.08333825928
243	0.08291725431
244	0.0825150311
245	0.08209030113
246	0.08159687261
247	0.08124858515
248	0.08077291669
249	0.08024397394
250	0.07988353542
251	0.0793944709
252	0.07895469299
253	0.07855522234
254	0.07824563159
255	0.07790065593
256	0.07747464018
257	0.07701446216
258	0.07662984578
259	0.07624663637
260	0.07589582043
261	0.07540980504
262	0.07510605245
263	0.07462921741
264	0.07429054314
265	0.07401154175
266	0.07368501131
267	0.07328905674
268	0.07282004298
269	0.07248190455
270	0.07215121835
271	0.07202843694
272	0.07175506171
273	0.07129902851
274	0.071044431
275	0.07068743327
276	0.07043309365
277	0.07016570166
278	0.06991411747
279	0.06960777315
280	0.06926815384
281	0.06911613595
282	0.06884884404
283	0.06864307806
284	0.06831796035
