region_eng,PC1,PC2
Gangwon-do,-0.14244389204479999,-0.8975604416105201
Gyeonggi-do,-0.39301372059141504,0.8629515057960768
Gyeongsangnam-do,-0.1385140079694427,-0.25251289198145893
Gyeongsangbuk-do,-0.018871970151541476,-1.4028163899374662
Gwangju,-1.5488848114019365,0.8127037257676083
Daegu,-1.409107838300417,0.4248864137347792
Daejeon,-1.1006940616162666,0.7608766151333449
Busan,0.4994911312922194,-0.18836870114028056
Seoul,1.935219063699658,0.18709799578491726
Sejong-si,0.992945903779587,2.327203991093426
Ulsan,2.3059737239475107,0.2630956138446052
Incheon,-1.2689364116284996,0.683041248062839
Jellanam-do,0.3879986364448809,-1.8660223993513614
Jeollabuk-do,-1.2889972305495871,-0.9460045674965434
Jeju-do,0.660848483948607,0.8218219786575525
Chungcheongnam-do,0.5569444995638468,-0.9541979593870081
Chungcheongbuk-do,-0.029957498422402102,-0.6361957369705107
